unit,street,city,state,postal,country,property value,existing mortgage amount
472,259 Broad Lane,Manassas,20109,VA ,US,112861410,43966226
,411 Summerhouse Dr,Baton Rouge,70806,LA ,US,145596967,117904242
329,67 Gulf St,Elizabethtown,17022,PA ,US,63624829,4149411
,483 Jefferson Rd,Middleton,53562,WI ,US,276045619,245856020
354,522 Dunbar St,Cleveland,37312,TN ,US,155171813,14073286
924,7435 Smith Store Street,Janesville,53546,WI ,US,211342736,81346173
83,64 Miller St,North Augusta,29841,SC ,US,114809856,63727105
47,555 West Livingston Lane,Port Chester,10573,NY ,US,146467070,19955927
,8093 SW. Glen Eagles Lane,El Paso,79930,TX ,US,175241295,18483170
287,9451 Canal Dr,Evansville,47711,IN ,US,246176482,93479230
259,7582 Prairie St,Lincoln,68506,NE ,US,1361097,1097429
372,967 Young Ave,Cary,27511,NC ,US,234750138,46943791
970,7315 West Franklin Street,Lorain,44052,OH ,US,222760939,142529987
323,8426 Adams Rd,Redondo Beach,90278,CA ,US,188624669,135563571
953,842 East Woodside Dr,Bemidji,56601,MN ,US,213376514,181197218
,564 Cedarwood St,Niceville,32578,FL ,US,296329283,87823921
71,754 Carriage St,Middleton,53562,WI ,US,217028353,165408928
572,17 Grant Ave,Simpsonville,29680,SC ,US,272123395,226754950
969,947 Liberty Dr,Brighton,02135,MA ,US,21373876,7030512
509,910 Warren St,Blacksburg,24060,VA ,US,95042778,40997536
,30 Magnolia St,Cape Coral,33904,FL ,US,132415271,50837373
477,82 Miller Court,Charleston,29406,SC ,US,103562106,50381943
538,755 Wrangler Road,Medford,02155,MA ,US,165299427,2633681
,7834 Summit Drive,Covington,30014,GA ,US,170382049,130847921
,493 W. Miles Court,Far Rockaway,11691,NY ,US,44664286,27999664
,7139 East Orange St,Mc Lean,22101,VA ,US,154726011,39348135
814,56 Devon Rd,Falls Church,22041,VA ,US,39335810,13884529
963,469 Lakewood Ave,New Bern,28560,NC ,US,116586380,6589458
319,841 Homewood St,Vista,92083,CA ,US,222842606,10037021
574,791 Galvin Court,Dearborn Heights,48127,MI ,US,177587673,75830724
824,9509 Del Monte Street,Clover,29710,SC ,US,3319017,1332576
341,27 West Amerige Drive,Mays Landing,08330,NJ ,US,120418992,244209
581,8961 Jones St,Sioux City,51106,IA ,US,142239655,49149586
,8121 Warren St,Roselle,60172,IL ,US,197152156,164194609
702,7683 Armstrong Lane,Christiansburg,24073,VA ,US,105006003,50729
608,5 Southampton Rd,San Jose,95127,CA ,US,54197839,38530652
704,709 E. Homestead Ave,Kingston,12401,NY ,US,291017053,133684036
,56 White St,Muskegon,49441,MI ,US,145888100,33851483
,64 Charles Dr,Mahwah,07430,NJ ,US,145085122,113480455
913,8296 Green Dr,Dothan,36301,AL ,US,8728806,5330340
270,31 Lake View Avenue,Mcminnville,37110,TN ,US,114700576,68286524
789,78 Schoolhouse Street,York,17402,PA ,US,207980377,82601121
,730 Country Club St,Sulphur,70663,LA ,US,81476479,22511581
466,8563 Southampton Road,Racine,53402,WI ,US,10141098,5030480
937,7279 Lafayette Court,Annapolis,21401,MD ,US,161854341,48133839
587,20 Beach Drive,Fuquay Varina,27526,NC ,US,254732497,138337561
,132 Surrey Court,Charlottesville,22901,VA ,US,98271591,77519997
163,92 Cottage Street,West Palm Beach,33404,FL ,US,251312162,73440700
,8129 South Marvon Rd,Malvern,19355,PA ,US,139028461,94931118
,951 Rockaway Street,Solon,44139,OH ,US,122174535,19346994
350,56 Golf Drive,Valdosta,31601,GA ,US,71821296,786038
589,176 Cherry St,Colonial Heights,23834,VA ,US,140290781,87888057
776,18 S. Foster St,Asbury Park,07712,NJ ,US,125883660,78812693
780,910 Linda St,Rock Hill,29730,SC ,US,168964115,135760868
146,8082 Primrose Circle,West Babylon,11704,NY ,US,880580,62136
181,149 N. Glenwood Ave,Hopkins,55343,MN ,US,53133053,1033730
65,9323 Somerset Avenue,Clementon,08021,NJ ,US,226185414,71010347
921,197 King Avenue,Piscataway,08854,NJ ,US,33277933,12900861
,87 Acacia Drive,Ladson,29456,SC ,US,263271358,139809134
273,57 Manor Station Ave,Fort Worth,76110,TX ,US,43448103,19875778
,7419 Roosevelt Road,Auburndale,33823,FL ,US,229038507,49029858
497,9077 Gregory Street,Gainesville,20155,VA ,US,139929095,2228421
,77 Spruce St,Cedar Falls,50613,IA ,US,186979414,155581858
27,66 High Ridge Street,Niles,49120,MI ,US,251404561,148713396
854,220 Surrey Road,Nashua,03060,NH ,US,260507210,174405318
,147 Devonshire Avenue,Buckeye,85326,AZ ,US,125293014,96383470
217,679 Corona Drive,Minneapolis,55406,MN ,US,157488337,126609603
902,9012 E. Bridge Ave,Petersburg,23803,VA ,US,222598504,153136355
753,46 Mammoth Avenue,Charlottesville,22901,VA ,US,15470266,12388947
713,9588 Arcadia Road,Chesterfield,23832,VA ,US,216030892,26839721
253,7 Leeton Ridge Street,Graham,27253,NC ,US,272261438,61259876
,498 Smith St,Chaska,55318,MN ,US,146006314,63896151
,779 Pumpkin Hill Court,Roslindale,02131,MA ,US,49468231,18735631
,958 E. Water Lane,West Bloomfield,48322,MI ,US,198920180,117057811
,8215 N. Wrangler St,Adrian,49221,MI ,US,183124657,56565981
,8576 East Drive,Dundalk,21222,MD ,US,43386605,26159398
10,6 East Lane,Lakeland,33801,FL ,US,204485702,6894317
,56 Devon Rd,Falls Church,22041,VA ,US,39335810,13884529
,77 Birchpond Dr,Chester,19013,PA ,US,145844793,130491541
518,190 Inverness Ave,Indianapolis,46201,IN ,US,4323558,1978308
,719 West Sulphur Springs Street,Joliet,60435,IL ,US,259587434,3389856
,8163 Ocean St,Smithtown,11787,NY ,US,172782445,96134293
906,9448 Lyme Dr,Traverse City,49684,MI ,US,131135258,54151861
318,81 Shady St,La Crosse,54601,WI ,US,208467246,134551979
20,974 E. Arcadia Ave,Avon,46123,IN ,US,44707628,19599892
430,7252 Glen Eagles Ave,Hoboken,07030,NJ ,US,130097851,51641036
384,68 Bridle St,Scarsdale,10583,NY ,US,2152808,1008238
,36 S. Meadowbrook Street,Lorton,22079,VA ,US,267330338,170783004
,542 E. Nut Swamp Drive,Bonita Springs,34135,FL ,US,200572763,20947418
882,8082 Primrose Circle,West Babylon,11704,NY ,US,880580,62136
,24 Woodland Road,Burnsville,55337,MN ,US,246792211,100796079
785,8202 Blue Spring Ave,Canton,30114,GA ,US,216762789,111472198
,264 8th Street,Redford,48239,MI ,US,86828543,67398237
418,79 Littleton St,New Berlin,53151,WI ,US,137605071,75687423
,7852 West New Court,Beaver Falls,15010,PA ,US,143452778,32394505
,19 Honey Creek Drive,Maspeth,11378,NY ,US,198996261,86285606
449,824 East Brickell St,Orland Park,60462,IL ,US,255967789,107600
,7934 Oak Street,Allison Park,15101,PA ,US,220404551,111933560
441,866 E. High Point St,Carrollton,30117,GA ,US,18735280,12074600
,23 Canterbury Road,Rockford,49341,MI ,US,178510933,144432531
213,91 Liberty Street,Bowie,20715,MD ,US,30030698,10012962
481,371 Cypress Rd,Gaithersburg,20877,MD ,US,47816216,16687263
718,53 San Juan Avenue,Woodside,11377,NY ,US,97846605,55178442
876,9216 Catherine Drive,Frankfort,40601,KY ,US,283475472,169372882
154,597 West Pumpkin Hill Drive,Freeport,11520,NY ,US,273784420,107384328
665,68 SE. Arnold St,Westmont,60559,IL ,US,268275909,203111820
707,276 West University Ave,Salt Lake City,84119,UT ,US,89423050,37945816
,879 Wild Horse Dr,East Lansing,48823,MI ,US,19464997,7872244
742,8961 Jones St,Sioux City,51106,IA ,US,142239655,49149586
,9013 Creekside St,Toledo,43612,OH ,US,294386886,73891557
776,7753 Jefferson Rd,Dracut,01826,MA ,US,282524091,125109270
,578 School Street,Vienna,22180,VA ,US,46614097,18679689
814,8322 E. Marvon Drive,Brownsburg,46112,IN ,US,96862832,35777833
460,27 West Amerige Drive,Mays Landing,08330,NJ ,US,120418992,244209
626,7511 Old St Paul Ave,Lumberton,28358,NC ,US,22979371,17657726
881,626 S. Livingston St,Neenah,54956,WI ,US,133228493,20324352
70,9027 West Stillwater St,Bethpage,11714,NY ,US,32226285,28179795
,489 Schoolhouse St,Montgomery,36109,AL ,US,29114422,7140914
669,352 Magnolia Dr,Billerica,01821,MA ,US,9121810,6163874
163,7685 Lakewood Street,Howard Beach,11414,NY ,US,26605700,20416520
362,521 Williams Street,Port Chester,10573,NY ,US,79033508,60889044
,845 Prospect Dr,Battle Creek,49015,MI ,US,80218140,70979420
129,89 Berkshire Street,Roy,84067,UT ,US,226759449,1161657
760,52 Garfield Ave,West Haven,06516,CT ,US,70756236,50821362
441,9362 Heather Street,North Canton,44720,OH ,US,278686786,71225760
,832 Bowman Street,Upland,91784,CA ,US,92486454,72203503
,499 W. Madison St,Mays Landing,08330,NJ ,US,137179193,88913089
976,411 Summerhouse Dr,Baton Rouge,70806,LA ,US,145596967,117904242
180,38 Blackburn Lane,Jackson,08527,NJ ,US,169592742,81808220
527,9354 East High Ridge Drive,Glenside,19038,PA ,US,170809816,78228776
616,35 Acacia Drive,Morganton,28655,NC ,US,197303691,89362458
25,332 Colonial Ave,Desoto,75115,TX ,US,161099827,67003896
646,7 Tower Drive,Wenatchee,98801,WA ,US,264166186,45203286
978,3 E. Durham St,Hastings,55033,MN ,US,198429376,92014531
459,89 Gulf Court,Ithaca,14850,NY ,US,255508819,91923887
273,725 East Bridgeton Dr,El Dorado,71730,AR ,US,27361715,22078418
,8821 Marshall Rd,Owatonna,55060,MN ,US,54947643,46081966
,7803 Squaw Creek Drive,Great Falls,59404,MT ,US,146519316,122227969
560,9775 South Tunnel St,Onalaska,54650,WI ,US,25847829,21480137
192,631 North Sunnyslope St,Wheaton,60187,IL ,US,134002252,89480073
,81 Littleton Drive,Hendersonville,28792,NC ,US,106651818,13426274
704,35 Winchester Lane,Reno,89523,NV ,US,190561680,18670721
,58 Cambridge St,Everett,02149,MA ,US,191138715,129505362
254,2 W. Clark Ave,Whitestone,11357,NY ,US,196825166,86607604
536,388 Schoolhouse Street,Schenectady,12302,NY ,US,294658358,2504834
226,186 San Juan Road,Avon Lake,44012,OH ,US,202583738,63860983
313,28 Santa Clara Dr,Forney,75126,TX ,US,10397955,4914709
460,29 Mill Pond St,Crown Point,46307,IN ,US,7871965,1283109
690,19 Shirley Street,San Lorenzo,94580,CA ,US,87581880,72507476
116,9950 Birchwood Street,Southaven,38671,MS ,US,260638126,203902908
89,9056 W. 53rd Street,Mcminnville,37110,TN ,US,78488927,32108003
860,166 Hall St,Norwalk,06851,CT ,US,163516630,82367053
,21 Hudson St,East Hartford,06118,CT ,US,285623233,20537554
,7723 Trout Lane,Lansing,48910,MI ,US,262415039,111062923
380,8476 Mayfield Dr,Woodside,11377,NY ,US,260458889,148000804
611,501 Fairground Lane,Meadville,16335,PA ,US,219488515,163424708
948,7048 St Margarets Court,Allen Park,48101,MI ,US,56789939,17042681
351,79 Addison St,Reston,20191,VA ,US,163660812,39162691
118,273 S. Clinton Avenue,South Bend,46614,IN ,US,179340308,133390769
387,107 NW. Poplar Street,New Hyde Park,11040,NY ,US,3416932,2372253
339,721 Belmont Street,Hazleton,18201,PA ,US,22289931,2152064
,70 S. Gainsway St,Quakertown,18951,PA ,US,258765002,461911
592,8027 Tanglewood Ave,Manahawkin,08050,NJ ,US,118575129,98559973
81,81 Littleton Drive,Hendersonville,28792,NC ,US,106651818,13426274
,252 West Fifth Drive,Park Ridge,60068,IL ,US,74013,108
230,8255 West University Dr,Mundelein,60060,IL ,US,69681350,52649666
,23 Constitution Street,Basking Ridge,07920,NJ ,US,51939200,39265428
421,9612 St Louis Lane,Greensburg,15601,PA ,US,184529657,165579359
933,82 N. Beacon St,Branford,06405,CT ,US,292263640,258059238
,59 Arlington Circle,Front Royal,22630,VA ,US,53356237,17178831
170,8747 Ketch Harbour St,Newtown,18940,PA ,US,297843261,36681395
203,4 Rockaway St,Bowling Green,42101,KY ,US,178776928,135505099
,717 Mulberry Lane,Hope Mills,28348,NC ,US,178609461,54298918
,76 Pearl Ave,Albany,12203,NY ,US,71113934,47972682
229,8677 Bridge Court,Minneapolis,55406,MN ,US,280201981,61123517
,575 Wood Dr,Ambler,19002,PA ,US,228202779,71553387
177,846 Annadale St,Sumter,29150,SC ,US,128267282,45016003
,8425 Ann Ave,Livingston,07039,NJ ,US,140931046,123609417
738,93 W. Lakeview St,Marcus Hook,19061,PA ,US,7476619,208223
562,50 South Plymouth Rd,Stoughton,02072,MA ,US,91325930,2276033
,819 Rockwell Street,Roselle,60172,IL ,US,13649155,6401493
671,8537 Meadowbrook Road,Baton Rouge,70806,LA ,US,110509788,36804551
,10 Greenrose St,Queensbury,12804,NY ,US,10773313,266337
,8528 Rockledge Street,Bartlett,60103,IL ,US,47144,12086
,9697 6th Lane,Little Falls,07424,NJ ,US,174735479,102013099
788,33 Holly Ave,Burbank,60459,IL ,US,250038827,79997081
,95 Selby Drive,Winter Haven,33880,FL ,US,50973800,45478386
476,5 Hall Street,Port Saint Lucie,34952,FL ,US,104260843,79930808
,23 Trusel St,San Angelo,76901,TX ,US,107986173,75405337
429,9604 E. Overlook St,Warminster,18974,PA ,US,63485029,33488531
516,7451 N. Military Ave,Chevy Chase,20815,MD ,US,174031798,69003337
,500 West Sherwood St,Hudson,03051,NH ,US,163471139,4471546
483,948 Newport Drive,Euless,76039,TX ,US,260149175,58594380
178,611 South Grove St,Peoria,61604,IL ,US,209985815,44103763
,450 High Noon Dr,Nutley,07110,NJ ,US,107401103,47030376
,87 Pin Oak Ave,Memphis,38106,TN ,US,176890895,11909516
987,27 Ryan Ave,Shepherdsville,40165,KY ,US,191251774,152479841
,7123 Bowman St,Cordova,38016,TN ,US,29117089,23837703
,39 East St,Manassas,20109,VA ,US,7638411,794468
,963 N. Summit St,Bartlett,60103,IL ,US,149751051,88995007
,9517 East Peninsula St,Wadsworth,44281,OH ,US,45397069,25191869
386,8660 Valley St,Haines City,33844,FL ,US,215539794,114318715
322,8344 High Point Lane,Spring Valley,10977,NY ,US,266922728,154228998
830,5 East Second Ave,Reisterstown,21136,MD ,US,21449678,9332231
,95 North East Circle,Herndon,20170,VA ,US,63494176,48118039
,3 Thompson St,Hephzibah,30815,GA ,US,226255466,174296013
58,9071 Rosewood Ave,King Of Prussia,19406,PA ,US,15996405,8214386
,239 Bank Ave,Westwood,07675,NJ ,US,5282154,3431254
,25 Willow Street,Groton,06340,CT ,US,256641350,104625274
904,9448 Lyme Dr,Traverse City,49684,MI ,US,131135258,54151861
512,483 Spring Street,Alliance,44601,OH ,US,203434266,43448051
938,63 Harvey Road,Jamaica Plain,02130,MA ,US,175460498,90700016
,7626 W. Ryan Court,Flint,48504,MI ,US,174730919,19684849
379,19 Heritage Road,Davenport,52804,IA ,US,152187979,75432567
,95 Glen Creek St,Dedham,02026,MA ,US,283818152,251585723
,92 Center Ave,Sioux City,51106,IA ,US,290897580,138857461
,7485 River Court,Deerfield,60015,IL ,US,215110543,112767267
20,7210 Joy Ridge Dr,Morristown,07960,NJ ,US,188359876,149366121
,28 1st St,Massapequa Park,11762,NY ,US,294778160,22966664
,3 Taylor Street,Desoto,75115,TX ,US,217309182,90136198
624,7593 Valley View Ave,Quincy,02169,MA ,US,281591781,22671743
,8923 Cardinal Dr,Natick,01760,MA ,US,9591033,6000217
,8522 Walnut St,Severna Park,21146,MD ,US,55547252,19010955
643,195 W. Hill Ave,Port Washington,11050,NY ,US,53575160,1051098
,19 E. Indian Summer Street,Lynchburg,24502,VA ,US,11808677,10056571
,8930 Wrangler Ave,Uniondale,11553,NY ,US,63204032,45796752
860,450 Wakehurst Court,Lincolnton,28092,NC ,US,248141972,206410427
,7650 Ann St,East Elmhurst,11369,NY ,US,88547338,40572309
659,171 Sage Avenue,Tuckerton,08087,NJ ,US,20546379,9721796
299,8923 Cardinal Dr,Natick,01760,MA ,US,9591033,6000217
329,53 Fairview St,Lenoir,28645,NC ,US,209177735,172354945
466,7582 Prairie St,Lincoln,68506,NE ,US,1361097,1097429
796,65 Oak Valley Ave,Fayetteville,28303,NC ,US,121258050,22206623
566,9071 Blackburn Drive,Roanoke Rapids,27870,NC ,US,122340913,25367741
892,65 Oak Valley Ave,Fayetteville,28303,NC ,US,121258050,22206623
850,89 Fremont Ave,Deland,32720,FL ,US,13064335,9160790
,9189 Sutor St,Middle River,21220,MD ,US,292665067,11162769
,8747 Ketch Harbour St,Newtown,18940,PA ,US,297843261,36681395
164,699 N. Honey Creek St,Chesterton,46304,IN ,US,220405146,104053229
625,994 Williams St,Clifton Park,12065,NY ,US,96606067,46767155
716,9648 Ann St,South Plainfield,07080,NJ ,US,136908097,4419426
,292 Shadow Brook Court,Cornelius,28031,NC ,US,299071844,223995620
,18 South Paris Hill Rd,Seattle,98144,WA ,US,181237013,70545773
,367 E. Jockey Hollow Dr,Tualatin,97062,OR ,US,240371460,69387963
336,38 W. Border Avenue,Mount Pleasant,29464,SC ,US,78906905,12135215
,96 Wilson Street,Framingham,01701,MA ,US,284203074,193953610
216,7537 Miller Street,Corpus Christi,78418,TX ,US,162681357,93862351
,418 Ann Street,North Attleboro,02760,MA ,US,41516031,26876976
,9913 W. St Paul St,Merrick,11566,NY ,US,268979478,156043970
,9883 West Somerset Avenue,New York,10002,NY ,US,28520082,11174403
,987 Oklahoma Ave,New Baltimore,48047,MI ,US,153202813,28996076
983,13 Newport Ave,Kalispell,59901,MT ,US,182879450,140041469
,41 Hill St,San Jose,95127,CA ,US,120273622,85269960
,250 Broad Court,Boynton Beach,33435,FL ,US,190148527,107475654
590,124 Glen Ridge Rd,West New York,07093,NJ ,US,246326565,415568
,8202 West Lafayette Road,Lithonia,30038,GA ,US,204831220,97990053
,29 Rock Maple Road,Des Moines,50310,IA ,US,15988101,14290267
105,79 Andover Circle,Bozeman,59715,MT ,US,223782496,69770479
,864 Ohio Street,Dublin,31021,GA ,US,293259295,262735957
701,283 Tower St,Anchorage,99504,AK ,US,72957591,41260228
990,106 Sheffield Street,Ashtabula,44004,OH ,US,49412988,4880728
,7508 Mayfair St,Troy,12180,NY ,US,88905066,35108306
417,95 Trenton Avenue,Prattville,36067,AL ,US,129288905,17642441
354,56 Saxon Dr,Los Angeles,90008,CA ,US,193997981,27060829
,8138 Spring St,Commack,11725,NY ,US,83137681,62321297
617,9273 Mammoth St,Mooresville,28115,NC ,US,117584277,8989921
473,9469 West Bald Hill St,Corona,11368,NY ,US,297573554,140661719
836,109 Olive St,Wellington,33414,FL ,US,226997327,50960755
542,410 Queen Street,Willoughby,44094,OH ,US,134049918,83135410
,70 Race Rd,Wilkes Barre,18702,PA ,US,51133067,9007131
761,156 Old Bowman Ave,Mahopac,10541,NY ,US,183636564,109779256
351,9950 Birchwood Street,Southaven,38671,MS ,US,260638126,203902908
,91 Campfire St,Hamburg,14075,NY ,US,85929837,50228055
155,7 Park St,Beachwood,44122,OH ,US,113232801,53600386
536,981 Gainsway Street,Lake Charles,70605,LA ,US,61346266,49970328
526,9011 Charles Avenue,Warren,48089,MI ,US,143669500,8173549
668,7599 New St,Ponte Vedra Beach,32082,FL ,US,193050903,91540289
83,50 North Glenwood Court,Pottstown,19464,PA ,US,81298041,62252850
456,693 Selby Ave,Bradenton,34203,FL ,US,183887986,162728662
834,736 E. Green Lake St,Palmetto,34221,FL ,US,115025881,43496164
,8660 Old Fairway St,Chelmsford,01824,MA ,US,82208039,5928149
633,501 Fairground Lane,Meadville,16335,PA ,US,219488515,163424708
,482 N. Fieldstone Ave,Bardstown,40004,KY ,US,42322477,29789072
301,56 Devon Rd,Falls Church,22041,VA ,US,39335810,13884529
,66 Arcadia Street,Canton,30114,GA ,US,126573306,75148082
780,9181 E. Garfield Street,Warwick,02886,RI ,US,199450291,177738799
,20 Longfellow Drive,Snohomish,98290,WA ,US,90490547,52945904
,81 Pleasant Street,Fort Mill,29708,SC ,US,241795572,202773983
256,8383 W. Newbridge Street,Somerset,08873,NJ ,US,123404506,5945746
,817 Sherwood Street,Newark,07103,NJ ,US,5171140,573397
978,98 Pierce Lane,Baton Rouge,70806,LA ,US,257066330,118778293
8,2 Westport Dr,Gibsonia,15044,PA ,US,66483595,58052324
810,18 S. Foster St,Asbury Park,07712,NJ ,US,125883660,78812693
485,703 Homestead Ave,Yorktown,23693,VA ,US,291945109,190654165
948,8262 Wild Horse St,Northville,48167,MI ,US,248782833,119093921
977,8304 N. Armstrong Drive,Ephrata,17522,PA ,US,264284808,208987331
762,611 South Grove St,Peoria,61604,IL ,US,209985815,44103763
395,3 Fremont St,Auburn,13021,NY ,US,77157249,51068219
,8896 Stillwater Ave,Middle Village,11379,NY ,US,1695818,72965
,217 S. Atlantic Street,State College,16801,PA ,US,105547800,86681596
745,63 Armstrong St,Englewood,07631,NJ ,US,49900646,32586850
,85B Hill Field Court,Wallingford,06492,CT ,US,277774727,44330791
,824 Henry Smith St,Saratoga Springs,12866,NY ,US,102566550,30736708
97,657 Sycamore Rd,Greenville,27834,NC ,US,141360752,73215068
,9515 West Meadow Road,Wilmette,60091,IL ,US,146122226,108485184
,884 Bay Meadows Street,Ellenwood,30294,GA ,US,79588936,24983893
309,575 E. Wrangler Dr,Dayton,45420,OH ,US,126135661,75167694
,47 Philmont Street,Defiance,43512,OH ,US,163178295,42517922
998,9044 North Canal St,Winter Garden,34787,FL ,US,135846969,39790749
430,9562 4th St,Ridgecrest,93555,CA ,US,122427745,45107894
709,7196 Arlington Ave,Fernandina Beach,32034,FL ,US,88728672,31796396
,62 Elm St,Glastonbury,06033,CT ,US,238463526,126404238
,99 Squaw Creek Road,Summerfield,34491,FL ,US,291588722,203128955
404,85 Mayfair Street,Ottumwa,52501,IA ,US,251354877,220380701
184,321 Clark Lane,Kenosha,53140,WI ,US,90456493,18895129
808,7550 South Brickell Dr,Thomasville,27360,NC ,US,206366865,3394490
,5 Westminster Ave,Freehold,07728,NJ ,US,63642450,455976
710,92 Fremont Lane,Strongsville,44136,OH ,US,103939465,88387631
410,866 E. High Point St,Carrollton,30117,GA ,US,18735280,12074600
113,7014 Briarwood Road,Lake Zurich,60047,IL ,US,42425463,27006216
311,910 Rock Creek St,Seymour,47274,IN ,US,51492347,36669258
,296 53rd Court,Bellmore,11710,NY ,US,227619239,202932556
928,7752 Foxrun Rd,Fresh Meadows,11365,NY ,US,179663694,150986817
870,59 Hill Field Lane,Sebastian,32958,FL ,US,146256812,111274677
162,9272 Addison Street,Monroeville,15146,PA ,US,2498771,1693867
,792 Selby St,Concord,03301,NH ,US,43038224,38564748
414,550 Wild Rose Lane,Woburn,01801,MA ,US,252419950,22479631
351,8 South Rockland Rd,Stuart,34997,FL ,US,109794444,95659272
,12 Coffee Ave,Hudsonville,49426,MI ,US,276501357,37379328
621,752 East Pin Oak Dr,Perth Amboy,08861,NJ ,US,77889161,38545926
,653 2nd Lane,Omaha,68107,NE ,US,22005831,15184088
851,75 Wellington Dr,Sugar Land,77478,TX ,US,52892606,12268390
833,37 Wentworth Court,Lakeville,55044,MN ,US,178262242,144616634
418,7 South William Drive,Mokena,60448,IL ,US,245683068,20447380
,40 N. Depot Drive,Huntersville,28078,NC ,US,287560511,75706886
678,8588 Central Street,Davenport,52804,IA ,US,174992438,111915365
,899 Woodland Street,Mount Holly,08060,NJ ,US,80815588,64746329
,8675 Blue Spring Street,Randolph,02368,MA ,US,269906924,140160551
838,570 Lafayette Lane,Faribault,55021,MN ,US,79988739,63224335
574,641 Mayfair Street,Feasterville Trevose,19053,PA ,US,242664003,145237573
,92 Swanson St,Prior Lake,55372,MN ,US,289217434,106223573
,408 Creekside St,Indiana,15701,PA ,US,233393004,16391297
761,9059 W. Maple St,Jacksonville,28540,NC ,US,236606315,174984588
784,4 Hanover Rd,Goldsboro,27530,NC ,US,52335442,22604623
,383 Vale Street,Quincy,02169,MA ,US,282705969,156957772
871,56 Schoolhouse Dr,Circle Pines,55014,MN ,US,60412261,33747302
213,410 Charles Street,Bronx,10451,NY ,US,181320784,100662238
